1,0,1,1,1027.2,237,1
1,1,1,1,1044.9,194,1
1,2,1,1,1035.2,209,1
1,3,1,0,292.4,184,1
1,4,1,1,1020.4,216,1
1,5,1,1,1027,279,1
1,6,1,1,1076.3,305,1
1,7,1,0,257.7,231,1
1,8,1,0,270.5,176,1
1,9,1,1,1038.7,203,1
1,10,1,1,1049.4,231,1
1,11,1,0,277.5,243,1
1,12,1,1,1052.5,157,1
1,13,1,0,260.8,155,1
1,14,1,0,299.5,198,1
1,15,1,1,1020.2,210,1
1,16,1,0,301.3,161,1
1,17,1,0,263.5,183,1
1,18,1,0,272.8,215,1
1,19,1,1,1025.3,161,1
1,20,1,0,254.2,154,1
1,21,1,1,1033.4,200,1
1,22,1,1,1043.1,169,1
1,23,1,0,274.8,217,1
1,24,1,0,291.5,224,1
1,25,1,1,1045.7,217,1
1,26,1,0,295.1,201,1
1,27,1,0,269.8,238,1
1,28,1,0,275.5,217,1
1,29,1,1,1057.2,178,1
1,30,1,0,258.9,203,1
1,31,1,1,1037.6,227,1
1,32,1,0,235.1,216,1
1,33,1,1,1060.8,155,1
1,34,1,1,1052.7,246,1
1,35,1,0,259,164,1
1,36,1,1,1032.7,171,1
1,37,1,1,1039.9,202,1
1,38,1,0,276.1,198,1
1,39,1,0,272.7,239,1
1,40,1,0,289.1,196,1
1,41,1,0,253.1,154,1
1,42,1,1,1069.8,185,1
1,43,1,1,1072.6,147,1
1,44,1,0,289.6,152,1
1,45,1,0,278.5,173,1
1,46,1,1,1054.5,225,1
1,47,1,0,223.4,224,1
1,48,1,0,295,192,1
1,49,1,0,277.7,204,1
1,50,1,1,1041.8,212,1
1,51,1,0,283.7,213,1
1,52,1,0,276.3,228,1
1,53,1,1,1060.5,279,1
1,54,1,0,275.8,182,1
1,55,1,1,1036.3,161,1
1,56,1,0,290,177,1
1,57,1,0,281.9,198,1
1,58,1,1,1042.8,172,1
1,59,1,0,276.4,182,1
1,60,1,0,255.7,299,1
1,61,1,1,1039.7,223,1
1,62,1,0,246.4,176,1
1,63,1,0,239.2,174,1
1,64,1,1,1051.1,193,1
1,65,1,1,1032.1,228,1
1,66,1,0,258.6,176,1
1,67,1,1,1032.8,160,1
1,68,1,0,260.7,237,1
1,69,1,1,1015.4,222,1
1,70,1,0,290.7,183,1
1,71,1,1,1003.6,198,1
1,72,1,0,272.5,194,1
1,73,1,0,225.5,226,1
1,74,1,0,242.7,160,1
1,75,1,0,223.1,186,1
1,76,1,0,218.2,167,1
1,77,1,1,1022.9,196,1
1,78,1,0,234,289,1
1,79,1,0,221.1,162,1
1,80,0,1,1040.3,217,1
1,81,0,1,301.6,192,0
1,82,0,1,308.6,171,0
